,code,name
0,7,Social dev/gender/inclusion
2,7,Social dev/gender/inclusion
2,7,Social dev/gender/inclusion
3,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
1,7,
1,7,
0,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
2,7,Social dev/gender/inclusion
3,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
3,7,Social dev/gender/inclusion
3,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
1,7,Social dev/gender/inclusion
3,7,Social dev/gender/inclusion
1,7,
1,7,Social dev/gender/inclusion
0,7,Social dev/gender/inclusion
1,8,Human development
2,8,Human development
3,8,Human development
2,8,Human development
0,8,Human development
2,8,Human development
1,8,Human development
1,8,Human development
0,8,Human development
1,8,Human development
2,8,Human development
1,8,Human development
3,8,Human development
0,8,Human development
2,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
1,8,Human development
2,8,Human development
3,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
2,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
1,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
0,8,Human development
2,8,Human development
1,8,Human development
3,8,Human development
0,8,Human development
1,8,Human development
3,8,Human development
1,8,
1,8,Human development
0,8,Human development
1,8,Human development
2,8,Human development
1,8,Human development
1,8,
0,8,Human development
0,8,Human development
1,8,Human development
3,8,Human development
2,8,Human development
3,8,Human development
1,8,Human development
4,8,Human development
3,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
3,8,Human development
2,8,Human development
4,8,Human development
3,8,Human development
0,8,Human development
1,8,Human development
2,8,Human development
3,8,Human development
0,8,Human development
4,8,Human development
1,8,
1,8,Human development
1,8,Human development
1,8,Human development
3,8,Human development
4,8,Human development
2,8,Human development
0,8,Human development
1,8,Human development
1,8,Human development
4,8,Human development
0,8,Human development
1,8,
3,8,Human development
3,8,Human development
1,8,Human development
2,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
1,8,Human development
1,8,Human development
2,8,Human development
1,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
3,8,Human development
1,8,Human development
1,8,Human development
3,8,Human development
0,8,Human development
1,8,
3,8,Human development
0,8,Human development
3,8,Human development
3,8,Human development
0,8,Human development
4,8,Human development
1,8,Human development
2,8,Human development
0,8,Human development
1,8,Human development
0,8,Human development
1,8,
1,8,
2,8,Human development
1,8,Human development
3,8,Human development
0,8,Human development
1,8,
1,8,
1,8,Human development
3,8,Human development
0,8,Human development
2,8,Human development
3,8,Human development
1,8,Human development
1,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
4,8,Human development
1,8,Human development
0,8,Human development
1,8,
0,8,Human development
0,8,Human development
2,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
1,8,Human development
2,8,Human development
3,8,Human development
2,8,Human development
0,8,Human development
2,8,Human development
4,8,Human development
1,8,Human development
3,8,Human development
4,8,Human development
1,8,Human development
1,8,Human development
0,8,Human development
3,8,Human development
0,8,Human development
3,8,Human development
2,8,Human development
1,8,Human development
3,8,Human development
0,8,Human development
1,8,Human development
1,8,Human development
2,8,Human development
3,8,Human development
4,8,Human development
1,8,Human development
0,8,Human development
4,8,Human development
1,8,
2,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
2,8,Human development
2,8,Human development
1,8,
2,8,Human development
0,8,Human development
2,8,Human development
3,8,Human development
4,8,Human development
3,8,Human development
2,8,Human development
1,8,Human development
0,8,Human development
1,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
1,8,
1,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
0,8,Human development
1,8,Human development
4,8,Human development
0,9,Urban development
2,9,Urban development
3,9,Urban development
0,9,Urban development
0,9,Urban development
0,9,Urban development
2,9,Urban development
2,9,Urban development
1,9,Urban development
1,9,Urban development
2,9,Urban development
1,9,Urban development
0,9,Urban development
0,9,Urban development
1,9,
0,9,Urban development
3,9,Urban development
1,9,Urban development
0,9,Urban development
0,9,Urban development
0,9,Urban development
2,9,Urban development
1,9,Urban development
1,9,
0,9,Urban development
0,9,Urban development
0,9,Urban development
0,9,Urban development
0,9,Urban development
1,9,Urban development
0,9,Urban development
0,9,Urban development
3,9,Urban development
0,9,Urban development
0,9,Urban development
1,9,Urban development
4,9,Urban development
2,9,Urban development
2,9,Urban development
1,9,Urban development
2,9,Urban development
3,9,Urban development
1,9,Urban development
0,9,
1,9,Urban development
0,9,Urban development
0,9,Urban development
0,9,Urban development
1,9,Urban development
0,9,Urban development
